iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
NER,Africa,Niger,4598.0,9.0,165.0,0.0,182.079,9e-06,0.000165,0.0,1133.0,28.7,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,1.65,6.295791869820423e-06,143
NGA,Africa,Nigeria,128674.0,1650.0,1577.0,30.0,602.967,0.00165,0.001577,3e-05,1133.0,58.33,209.588,18.1,2.751,1.447,5338.454,2.2,181.013,2.42,0.6,10.8,41.949,2.397,54.69,0.539,218541216.0,15.770000000000001,7.216030133190071e-06,144
PRK,Asia,North Korea,1.0,0.0,6.0,0.0,0.039,0.0,6e-06,0.0,1133.0,47.24,211.701,35.3,9.491,6.139,13111.214,2.2,321.681,4.0,6.2,31.2,47.964,13.2,72.27,0.75,26069416.0,0.060000000000000005,2.3015475298717853e-07,145
MKD,Europe,North Macedonia,93160.0,407.0,2873.0,7.0,44291.671,0.000407,0.002873,7e-06,1133.0,47.24,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,6.2,31.2,47.964,4.28,75.8,0.774,2093606.0,28.73,0.0013722734841226094,146
NOR,Europe,Norway,61961.0,367.0,556.0,6.0,11467.844,0.000367,0.000556,6e-06,992.0,70.37,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,47.964,3.6,82.4,0.957,5434324.0,5.56,0.00010231263354926942,147
OMN,Asia,Oman,135990.0,316.0,1535.0,1.0,30083.148,0.000316,0.001535,1e-06,38.0,45.37,14.98,30.7,2.355,1.53,37960.709,2.2,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,15.35,0.00033542381399820814,148
PAK,Asia,Pakistan,555511.0,1037.0,12026.0,59.0,2400.631,0.001037,0.012026,5.9e-05,14.0,50.46,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,120.26,5.099547094406466e-05,149
PLW,Oceania,Palau,4732.0,0.0,6.0,0.0,262538.837,0.0,6e-06,0.0,1133.0,47.24,47.237,30.626080159524133,6.614,3.915,13240.405,2.2,242.648,15.89,7.7,22.7,47.964,4.8,73.7,0.826,18084.0,0.060000000000000005,0.00033178500331785003,150
PSE,Asia,Palestine,161087.0,661.0,1865.0,8.0,31380.226,0.000661,0.001865,8e-06,1133.0,77.78,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,6.2,31.2,47.964,2.397,74.05,0.708,5250076.0,18.65,0.0003552329528182068,151
PAN,North America,Panama,316808.0,1408.0,5196.0,20.0,72808.219,0.001408,0.005196,2e-05,194.0,76.85,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,47.964,2.3,78.51,0.815,4408582.0,51.96,0.00117861026516009,152
PNG,Oceania,Papua New Guinea,11273.0,11.0,121.0,6.0,1133.029,1.1e-05,0.000121,6e-06,21.0,50.0,18.22,22.6,3.808,2.142,3823.194,2.2,561.494,17.65,23.5,48.8,47.964,2.397,64.5,0.555,10142625.0,1.21,1.1929850507141889e-05,153
PRY,South America,Paraguay,131886.0,969.0,2694.0,12.0,19673.323,0.000969,0.002694,1.2e-05,1133.0,55.56,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,26.94,0.0003973014764601825,154
PER,South America,Peru,1093938.0,11031.0,99910.0,499.0,32446.172,0.011031,0.09991,0.000499,1133.0,61.11,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,31.2,47.964,1.6,76.74,0.777,34049588.0,999.1,0.0029342498945949067,155
PHL,Asia,Philippines,475820.0,1756.0,9248.0,4.0,4178.246,0.001756,0.009248,4e-06,1133.0,66.2,351.873,25.2,4.803,2.661,7599.188,2.2,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,92.47999999999999,8.002837822906891e-05,156
POL,Europe,Poland,1513385.0,4711.0,37180.0,98.0,39505.999,0.004711,0.03718,9.8e-05,1683.0,71.3,124.027,41.8,16.763,10.202,27216.445,2.2,227.331,5.91,23.3,33.1,47.964,6.62,78.73,0.88,39857144.0,371.79999999999995,0.0009328315144707809,157
PRT,Europe,Portugal,720516.0,9498.0,12482.0,303.0,70020.29,0.009498,0.012482,0.000303,1134.0,87.96,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,47.964,3.39,82.05,0.864,10270857.0,124.82000000000001,0.0012152832037287638,158
QAT,Asia,Qatar,153296.0,398.0,250.0,1.0,57024.776,0.000398,0.00025,1e-06,1590.0,68.52,227.322,31.9,1.307,0.617,116935.6,2.2,176.69,16.52,0.8,26.9,47.964,1.2,80.23,0.848,2695131.0,2.5,9.275986955736104e-05,159
ROU,Europe,Romania,735484.0,2752.0,18600.0,87.0,38051.671,0.002752,0.0186,8.7e-05,1464.0,76.85,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,47.964,6.892,76.05,0.828,19659270.0,185.99999999999997,0.0009461185486541463,160
RUS,Europe,Russia,3733692.0,17464.0,69971.0,580.0,25731.365,0.017464,0.069971,0.00058,612.0,50.46,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,47.964,8.05,72.58,0.824,144713312.0,699.71,0.0004835146057606642,161
RWA,Africa,Rwanda,21106.0,131.0,297.0,2.0,1567.834,0.000131,0.000297,2e-06,279.0,71.3,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,2.397,69.02,0.543,13776702.0,2.97,2.1558134885983597e-05,162
KNA,North America,Saint Kitts and Nevis,2774.0,7.0,28.0,0.0,58269.966,7e-06,2.8e-05,0.0,1867.0,47.24,212.865,30.626080159524133,6.614,3.915,24654.385,2.2,242.648,12.84,6.2,31.2,47.964,2.3,76.23,0.779,47681.0,0.27999999999999997,0.0005872360059562509,163
LCA,North America,Saint Lucia,5430.0,14.0,86.0,0.0,30225.102,1.4e-05,8.6e-05,0.0,639.0,47.24,293.187,34.9,9.721,6.405,12951.839,2.2,204.62,11.62,6.2,31.2,87.202,1.3,76.2,0.759,179872.0,0.86,0.0004781177726383206,164
SPM,North America,Saint Pierre and Miquelon,2727.0,0.0,1.0,0.0,463539.011,0.0,1e-06,0.0,1133.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,81.07,0.75,5885.0,0.01,0.0001699235344095157,165
VCT,North America,Saint Vincent and the Grenadines,2320.0,0.0,12.0,0.0,22236.706,0.0,1.2e-05,0.0,6358.0,47.24,281.787,31.8,7.724,4.832,10727.146,2.2,252.675,11.62,6.2,31.2,47.964,2.6,72.53,0.738,103959.0,0.12000000000000001,0.00011543012149020286,166
WSM,Oceania,Samoa,14422.0,0.0,28.0,0.0,65924.924,0.0,2.8e-05,0.0,1255.0,47.24,69.413,22.0,5.606,3.564,6021.557,2.2,348.977,9.21,16.7,38.1,47.964,2.397,73.32,0.715,222390.0,0.27999999999999997,0.00012590494176896444,167
SMR,Europe,San Marino,2787.0,0.0,65.0,0.0,82587.566,0.0,6.5e-05,0.0,1133.0,69.44,556.667,30.626080159524133,6.614,3.915,56861.47,2.2,242.648,5.64,6.2,31.2,47.964,3.8,84.97,0.75,33690.0,0.6499999999999999,0.00192935589195607,168
STP,Africa,Sao Tome and Principe,1430.0,45.0,18.0,0.0,6409.481,4.5e-05,1.8e-05,0.0,1133.0,47.24,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,6.2,31.2,41.34,2.9,70.39,0.625,227393.0,0.18,7.915810952843755e-05,169
SAU,Asia,Saudi Arabia,367813.0,270.0,6372.0,4.0,10231.125,0.00027,0.006372,4e-06,192.0,53.7,15.322,31.9,3.295,1.845,49045.411,2.2,259.538,17.72,1.8,25.4,47.964,2.7,75.13,0.854,36408824.0,63.72,0.00017501251894321004,170
SEN,Africa,Senegal,29245.0,188.0,700.0,11.0,1732.86,0.000188,0.0007,1.1e-05,1133.0,50.46,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,2.397,67.94,0.512,17316452.0,7.0,4.0423985236698604e-05,171
SRB,Europe,Serbia,402700.0,1863.0,4085.0,14.0,58603.98,0.001863,0.004085,1.4e-05,2607.0,56.48,80.291,41.2,17.366,3.915,14048.881,2.2,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,40.85,0.000594480398664231,172
SYC,Africa,Seychelles,19082.0,101.0,91.0,0.0,179224.195,0.000101,9.1e-05,0.0,1167.0,84.26,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,47.964,3.6,73.4,0.796,107135.0,0.91,0.0008493956223456386,173
SLE,Africa,Sierra Leone,3862.0,5.0,79.0,0.0,458.635,5e-06,7.9e-05,0.0,1133.0,51.85,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,2.397,54.7,0.452,8605723.0,0.7899999999999999,9.179937583396537e-06,174
SGP,Asia,Singapore,59602.0,18.0,29.0,0.0,10928.928,1.8e-05,2.9e-05,0.0,2046.0,50.93,7915.731,42.4,12.922,7.049,85535.383,2.2,92.243,10.99,5.2,28.3,47.964,2.4,83.62,0.938,5637022.0,0.29,5.144560372480363e-06,175
SVK,Europe,Slovakia,477647.0,4072.0,5271.0,72.0,87679.909,0.004072,0.005271,7.2e-05,2043.0,71.3,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,47.964,5.82,77.54,0.86,5643455.0,52.709999999999994,0.0009340023088693008,176
SVN,Europe,Slovenia,161662.0,1850.0,3425.0,19.0,76276.888,0.00185,0.003425,1.9e-05,997.0,75.93,102.619,44.5,19.062,12.93,31400.84,2.2,153.493,7.25,20.1,25.0,47.964,4.5,81.32,0.917,2119843.0,34.25,0.001615685689930811,177
SLB,Oceania,Solomon Islands,14182.0,1745.0,140.0,1.0,20035.29,0.001745,0.00014,1e-06,6346.0,77.72,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,6.2,31.2,35.89,1.4,73.0,0.567,724272.0,1.4,0.00019329754567344864,178
SOM,Africa,Somalia,5273.0,90.0,154.0,2.0,308.984,9e-05,0.000154,2e-06,1133.0,2.78,23.5,16.8,2.731,1.496,13111.214,2.2,365.769,6.05,6.2,31.2,9.831,0.9,57.4,0.75,17597508.0,1.54,8.75123909589926e-06,179
ZAF,Africa,South Africa,1458958.0,2649.0,44946.0,547.0,24564.785,0.002649,0.044946,0.000547,1133.0,64.81,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,449.46,0.0007504272055557459,180
KOR,Asia,South Korea,69651.0,537.0,1165.0,25.0,1343.832,0.000537,0.001165,2.5e-05,1133.0,63.89,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,47.964,12.27,83.03,0.916,51815808.0,11.65,2.248348612068348e-05,181
SSD,Africa,South Sudan,8527.0,113.0,100.0,0.0,793.337,0.000113,0.0001,0.0,1133.0,77.78,85.129,19.2,3.441,2.032,1569.888,2.2,280.775,10.43,6.2,31.2,47.964,2.397,57.85,0.433,10913172.0,1.0,9.163238699069345e-06,182
ESP,Europe,Spain,2370742.0,34291.0,54173.0,404.0,49924.09,0.034291,0.054173,0.000404,1436.0,71.3,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,47.964,2.97,83.56,0.904,47558632.0,541.73,0.0011390781803816393,183
LKA,Asia,Sri Lanka,67850.0,735.0,343.0,4.0,3116.182,0.000735,0.000343,4e-06,988.0,79.17,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,47.964,3.6,76.98,0.782,21832150.0,3.4299999999999997,1.5710775164150117e-05,184
SDN,Africa,Sudan,29066.0,72.0,1798.0,38.0,636.614,7.2e-05,0.001798,3.8e-05,1133.0,25.93,23.258,19.7,3.548,2.034,4466.507,2.2,431.388,15.67,6.2,31.2,23.437,0.8,65.31,0.51,46874200.0,17.98,3.835798797632813e-05,185
SUR,South America,Suriname,8765.0,26.0,166.0,2.0,14298.905,2.6e-05,0.000166,2e-06,1133.0,70.37,3.612,29.6,6.933,4.229,13767.119,2.2,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,1.66,0.00026858842222099975,186
SWE,Europe,Sweden,566957.0,2400.0,11591.0,71.0,54165.639,0.0024,0.011591,7.1e-05,1338.0,69.44,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,47.964,2.22,82.8,0.945,10549349.0,115.91000000000001,0.0010987407848579093,187
CHE,Europe,Switzerland,495228.0,0.0,8871.0,40.0,56979.043,0.0,0.008871,4e-05,892.0,60.19,214.243,43.1,18.436,12.644,57410.166,2.2,99.739,5.59,22.6,28.9,47.964,4.53,83.78,0.955,8740471.0,88.71000000000001,0.0010149338634039286,188
SYR,Asia,Syria,14408.0,70.0,947.0,4.0,675.659,7e-05,0.000947,4e-06,1133.0,25.93,85.129,21.7,6.614,2.577,13111.214,2.2,376.264,7.11,6.2,31.2,70.598,1.5,72.7,0.567,22125242.0,9.47,4.2801791727295004e-05,189
TWN,Asia,Taiwan,838.0,4.0,7.0,0.0,35.122,4e-06,7e-06,0.0,1133.0,19.44,85.129,42.2,6.614,8.353,13111.214,2.2,103.957,7.11,6.2,31.2,47.964,2.397,80.46,0.75,23893396.0,0.06999999999999999,2.9296798161299466e-07,190
TJK,Asia,Tajikistan,13714.0,0.0,91.0,0.0,1406.555,0.0,9.1e-05,0.0,1133.0,31.48,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,6.2,31.2,72.704,4.8,71.1,0.668,9952789.0,0.91,9.143165800058657e-06,191
TZA,Africa,Tanzania,509.0,0.0,21.0,0.0,8.005,0.0,2.1e-05,0.0,1133.0,12.04,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,0.21,3.2062169095513384e-07,192
THA,Asia,Thailand,6884.0,194.0,61.0,0.0,96.144,0.000194,6.1e-05,0.0,1133.0,63.89,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,0.61,8.508023987160193e-07,193
TLS,Asia,Timor,19707.0,4.0,119.0,0.0,14918.899,4e-06,0.000119,0.0,4970.0,46.3,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,1.1900000000000002,8.872003089544605e-05,194
TGO,Africa,Togo,5436.0,80.0,79.0,0.0,628.815,8e-05,7.9e-05,0.0,1133.0,45.37,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,0.7899999999999999,8.927865110129171e-06,195
TON,Oceania,Tonga,11636.0,70.0,11.0,0.0,109755.983,7e-05,1.1e-05,0.0,206.0,46.3,150.028,22.3,5.82,4.032,5425.621,2.2,227.49,15.42,11.8,44.4,47.964,2.6,70.91,0.725,106867.0,0.11,0.00010293168143580338,196
TTO,North America,Trinidad and Tobago,7607.0,21.0,135.0,0.0,4986.029,2.1e-05,0.000135,0.0,1133.0,68.52,266.886,36.2,10.014,5.819,28763.071,2.2,228.467,10.97,6.2,31.2,89.443,3.0,73.51,0.796,1531043.0,1.35,8.817518515156007e-05,197
TUN,Africa,Tunisia,207468.0,1438.0,6680.0,81.0,16918.284,0.001438,0.00668,8.1e-05,1133.0,71.3,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,66.8,0.0005406229595125199,198
TUR,Asia,Turkey,2477463.0,6562.0,25993.0,128.0,29223.842,0.006562,0.025993,0.000128,1241.0,73.61,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,47.964,2.81,77.69,0.82,85341248.0,259.93,0.000304577219212918,199
TCA,North America,Turks and Caicos Islands,1784.0,46.0,10.0,1.0,39544.266,4.6e-05,1e-05,1e-06,6823.0,47.24,37.312,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,80.22,0.75,45726.0,0.1,0.00021869395967283382,200
UGA,Africa,Uganda,41797.0,31.0,342.0,1.0,911.528,3.1e-05,0.000342,1e-06,188.0,37.96,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,47249588.0,3.4200000000000004,7.238158351772295e-06,201
UKR,Europe,Ukraine,1241863.0,4053.0,23307.0,159.0,28527.968,0.004053,0.023307,0.000159,1133.0,54.63,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,47.964,8.8,72.06,0.779,39701744.0,233.07000000000002,0.0005870522967454528,202
ARE,Asia,United Arab Emirates,306339.0,2730.0,859.0,9.0,32710.549,0.00273,0.000859,9e-06,13160.0,62.04,112.442,34.0,1.144,0.526,67293.483,2.2,317.84,17.26,1.2,37.4,47.964,1.2,77.97,0.89,9441138.0,8.59,9.098479441779158e-05,203
GBR,Europe,United Kingdom,2256005.0,34693.0,91260.0,692.0,33531.066,0.034693,0.09126,0.000692,1133.0,79.63,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,47.964,2.54,81.32,0.932,67508936.0,912.5999999999999,0.0013518210389214251,204
USA,North America,United States,24138613.0,176138.0,402953.0,1982.0,71628.437,0.176138,0.402953,0.001982,3107.0,71.76,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,47.964,2.77,78.86,0.926,338289856.0,4029.53,0.001191147156360491,205
URY,South America,Uruguay,44303.0,499.0,478.0,2.0,12930.426,0.000499,0.000478,2e-06,1133.0,64.81,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,47.964,2.8,77.91,0.817,3422796.0,4.78,0.00013965191030958316,206
UZB,Asia,Uzbekistan,79237.0,33.0,621.0,0.0,2324.93,3.3e-05,0.000621,0.0,1133.0,28.7,76.134,28.2,4.469,2.873,6253.104,2.2,724.417,7.57,1.3,24.7,47.964,4.0,71.72,0.72,34627648.0,6.21,1.793364654740628e-05,207
VUT,Oceania,Vanuatu,4.0,0.0,1.0,0.0,12.534,0.0,1e-06,0.0,2109.0,16.67,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,2.397,70.47,0.609,326744.0,0.01,3.0604999632740005e-06,208
VEN,South America,Venezuela,131828.0,352.0,1260.0,7.0,4674.774,0.000352,0.00126,7e-06,1133.0,84.26,36.253,29.0,6.614,3.915,16745.022,2.2,204.85,6.47,6.2,31.2,47.964,0.8,72.06,0.711,28301700.0,12.6,4.4520293833939304e-05,209
VNM,Asia,Vietnam,2962.0,20.0,35.0,0.0,30.389,2e-05,3.5e-05,0.0,559.0,69.91,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,98186856.0,0.35,3.5646319095908316e-07,210
WLF,Oceania,Wallis and Futuna,454.0,0.0,7.0,0.0,39047.046,0.0,7e-06,0.0,4657.0,47.24,85.129,30.626080159524133,6.614,3.915,13111.214,2.2,242.648,7.11,6.2,31.2,47.964,2.397,79.94,0.75,11596.0,0.06999999999999999,0.0006036564332528458,211
YEM,Asia,Yemen,2255.0,34.0,625.0,1.0,68.371,3.4e-05,0.000625,1e-06,1133.0,25.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,33696612.0,6.25,1.8547858758025882e-05,212
ZMB,Africa,Zambia,64610.0,1037.0,881.0,12.0,3317.906,0.001037,0.000881,1.2e-05,1133.0,36.11,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,20017670.0,8.809999999999999,4.401111617885598e-05,213
ZWE,Africa,Zimbabwe,257893.0,0.0,5606.0,0.0,16124.839,0.0,0.005606,0.0,1133.0,47.24,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,16320539.0,56.06,0.000343493557412534,214
